"date"	"title"
"2020-01-05"	"Минздрав отреагировал на смерть боровшегося с раком хирурга-онколога"
"2020-01-05"	"Дело о шоу в честь Гитлера в центре Санкт-Петербурга возбудили и закрыли"
"2020-01-05"	"Вооруженный россиянин пытался попасть в дом творчества"
"2020-01-05"	"Россиянам спрогнозировали аномальное тепло на Рождество"
"2020-01-05"	"Поклонская заявила о готовности стать послом России в Киеве"
"2020-01-05"	"В районе Енисея произошло наводнение из-за аномального потепления"
"2020-01-05"	"Россиянам назвали основы полноценного отдыха"
"2020-01-05"	"Пытавшийся попасть в дом творчества вооруженный россиянин объяснился"
"2020-01-06"	"Пушков рассказал об эффекте бумеранга для США"
"2020-01-06"	"Граждане Таджикистана попали в смертельную аварию в России"
"2020-01-06"	"В Госдуме отреагировали на инициативу о памятнике Бандере рядом с Россией"
"2020-01-06"	"Сбежавшего из Забайкалья солдата-срочника нашли"
"2020-01-06"	"Аксенов заявил о признании украинцами российского статуса Крыма"
"2020-01-06"	"Жириновский раздал деньги на Красной площади со словами «крепостные, холопы»"
"2020-01-06"	"Перечислены продукты для борьбы с раком желудка"
"2020-01-06"	"Названа возможная причина побега солдата-срочника из воинской части в Забайкалье"
"2020-01-06"	"Меркель приедет к Путину"
"2020-01-06"	"Около двухсот человек пришли проститься с российским онкологом Павленко"
"2020-01-06"	"Станция «Новодачная» сделала короче путь к технопарку «Физтехпарк»"
"2020-01-06"	"Россиянка прокатилась на «ватрушке» и разбилась насмерть"
"2020-01-06"	"Пропавшего в Новый год мальчика нашли голодным и больным"
"2020-01-06"	"Россиянка выставила сына на холодный балкон и через пять часов нашла его мертвым"
"2020-01-06"	"Названы пять бесполезных методов народной медицины"
"2020-01-06"	"Онколога Андрея Павленко похоронили"
"2020-01-06"	"В Госдуме займутся раздачей Жириновским денег «крепостным и холопам»"
"2020-01-06"	"Сын чеченского чиновника осыпал толпу деньгами и требовал признаться ему в любви"
"2020-01-06"	"Названы способы легче выйти на работу после новогодних праздников"
"2020-01-06"	"Патриарх Кирилл призвал не ставить благополучие на первое место"
"2020-01-06"	"В РПЦ прокомментировали слухи о миллиардах долларов у патриарха Кирилла"
"2020-01-06"	"Председатель Верховного суда России попал в больницу"
"2020-01-06"	"Друг онколога Павленко рассказал о последних неделях его жизни"
"2020-01-07"	"Путин встретил Рождество в Санкт-Петербурге третий раз подряд"
"2020-01-07"	"Отец осыпавшего толпу деньгами блогера объяснил поступок сына"
"2020-01-07"	"В России заявили о провале США после убийства Сулеймани"
"2020-01-07"	"Путин передал собору в Санкт-Петербурге икону"
"2020-01-07"	"Россиянам рассказали об аномально теплой погоде по всей стране"
"2020-01-07"	"Названы способы прийти в форму после праздников"
"2020-01-07"	"Захарова прокомментировала путаницу США с выводом войск из Ирака"
"2020-01-07"	"Путин и Медведев поздравили россиян с Рождеством"
"2020-01-07"	"Россиянка выпивала и три дня не замечала пропажу дочери"
"2020-01-07"	"В Подмосковье сгорели восемь человек"
"2020-01-07"	"Россиянам пообещали аномально теплую неделю"
"2020-01-07"	"Скорая помощь насмерть сбила восьмилетнего мальчика на российской трассе"
"2020-01-07"	"Благоустроена дорога к станции МЦД-1 «Рабочий поселок»"
"2020-01-07"	"В России оценили признание Ираном Пентагона террористической организацией"
"2020-01-07"	"В Госдуме придумали наказание для Жириновского за раздачу денег «холопам»"
"2020-01-07"	"В ЛДПР прокомментировали раздачу Жириновским денег «крепостным и холопам»"
"2020-01-07"	"Путин прибыл в Сирию и встретился с Асадом"
"2020-01-07"	"Россиянин посадил ребенка за руль машины и попал на видео"
"2020-01-07"	"Российская школьница ушла к подруге и пропала по дороге домой"
"2020-01-07"	"Раскрыты подробности визита Путина в Дамаск"
"2020-01-07"	"Патриарх Кирилл назвал бытовое насилие заимствованием из-за рубежа"
"2020-01-07"	"Путин прибыл в Турцию на переговоры с Эрдоганом"
"2020-01-07"	"Путин впервые высказался о ситуации на Ближнем Востоке после убийства Сулеймани"
"2020-01-07"	"Путин рассказал об успехах России и Сирии в борьбе с терроризмом"
"2020-01-08"	"В российских аэропортах снова разрешили курить"
"2020-01-08"	"Кремль прокомментировал планы Трампа обсудить с Россией ситуацию в Ливии"
"2020-01-08"	"Дед Мороз обварил ребенка кипятком в новогоднюю ночь"
"2020-01-08"	"Россиянам дали советы по подготовке к работе после праздников"
"2020-01-08"	"В России изменят порядок поверки счетчиков"
"2020-01-08"	"В России прокомментировали гибель украинского самолета в Иране"
"2020-01-08"	"В России предупредили о риске ядерной войны из-за удара Ирана по базам США"
"2020-01-08"	"Благоустроены территории вблизи станций МЦД-1 «Сетунь»"
"2020-01-08"	"В Госдуме оценили раздачу денег Жириновским «крепостным и холопам»"
"2020-01-08"	"В реанимации российской больницы закончились лекарства"
"2020-01-08"	"В России предупредили о последствиях ответа США на удары Ирана"
"2020-01-08"	"Путин направил Зеленскому телеграмму с соболезнованиями после крушения «Боинга»"
"2020-01-08"	"В Москве таксист из Киргизии избил школьника на глазах у его матери"
"2020-01-08"	"Медведев дал поручения в связи с ситуацией на Ближнем Востоке"
"2020-01-08"	"В Совфеде оценили слова о зависимости отношения Прибалтики к России от США"
"2020-01-08"	"Жириновский объяснил раздачу денег на Красной площади «крепостным и холопам»"
"2020-01-08"	"Путин рассказал о попытках помешать отношениям России и Турции"
"2020-01-08"	"У жителя Петербурга нашли на балконе мумию"
"2020-01-08"	"Медведев дал спецслужбам один день на оценку угроз россиянам на Ближнем Востоке"
"2020-01-08"	"Составлен рейтинг расходов выигравших в лотерею россиян"
"2020-01-08"	"В России оценили заявление Трампа по Ирану"
"2020-01-09"	"Россиянам рассказали о восьми коротких рабочих неделях в 2020 году"
"2020-01-09"	"Тело российского солдата обнаружили на рельсах"
"2020-01-09"	"В Совфеде назвали открытие «Турецкого потока» провалом для США"
"2020-01-09"	"Российских школьников научат киберзащите"
"2020-01-09"	"Устроивший бойню рядовой Шамсутдинов написал открытое письмо и попросил прощения"
"2020-01-09"	"В ГИБДД разъяснили новые правила сдачи экзамена на права"
"2020-01-09"	"В России оценили риск начала войны между США и Ираном"
"2020-01-09"	"Россиянам назвали правила восстановления режима сна после праздников"
"2020-01-09"	"Попавшая в аварию россиянка погибла в другом ДТП по пути в больницу"
"2020-01-09"	"Стала известна судьба сбежавшего в Забайкалье срочника"
"2020-01-09"	"В Госдуму внесен законопроект об отключении сотовой связи в тюрьмах"
"2020-01-09"	"В России появится новый штраф для автомобилистов"
"2020-01-09"	"В Крыму отреагировали на отказ президента Эстонии от подаренного вина"
"2020-01-09"	"Москвичам пообещали перемены в зимней погоде"
"2020-01-09"	"Обвиненный в избиении матери с ребенком стоматолог объяснился"
"2020-01-09"	"Закон о пропаганде наркотиков в сети внесли в Госдуму"
"2020-01-09"	"Российский чиновник незаконно охотился на косуль из окна Gelandewagen"
"2020-01-09"	"Россиянка напилась и дважды выгнала 9-летнюю внучку на улицу"
"2020-01-09"	"Россиянин пожаловался на прибавку к пенсии бабушки в размере 1 рубля 10 копеек"
"2020-01-09"	"В Госдуме назвали кошмаром историю девочки «как из концлагеря»"
"2020-01-09"	"Российских автомобилистов защитили от аварий святой водой и молитвами"
"2020-01-09"	"Путин понаблюдал за запуском «Кинжала» в Черном море"
"2020-01-09"	"Россиян предупредили о главной опасности фастфуда для здоровья"
"2020-01-09"	"Сотрудницу российского военного госпиталя засудили за выдачу молока «за вредность»"
"2020-01-09"	"Активисты заявили о спасении попавшего четверть века назад в рабство россиянина"
"2020-01-09"	"В России открылись вытрезвители"
"2020-01-09"	"Мощный взрыв и пожар произошли на российском нефтяном заводе"
"2020-01-09"	"Слепых россиян поздравили с Новым годом позапрошлогодними продуктами"
"2020-01-09"	"Постройки полигона «Шиес» признали незаконными"
"2020-01-10"	"Власти Ухты оценили опасность пожара на нефтяном заводе"
"2020-01-10"	"Россиянам дали советы по возвращению в рабочий режим после праздников"
"2020-01-10"	"Объяснена причина аномально теплой погоды в России"
"2020-01-10"	"Синоптики рассказали об аномальной погоде на Крещение"
"2020-01-10"	"Вертолет Ми-8 экстренно сел на Таймыре из-за отказа двигателя"
"2020-01-10"	"Создатель World of Tanks собрался в Госдуму"
"2020-01-10"	"Аварийно севший на Таймыре вертолет перевозил школьников"
"2020-01-10"	"В России отреагировали на новые версии гибели украинского «Боинга»"
"2020-01-10"	"Спонсор просроченных сладостей для слепых россиян объяснился"
"2020-01-10"	"В упомянутой в вопросе Путину российской школе-«секте» нашли педофилию"
"2020-01-10"	"Появилось видео задержания охотившегося на косуль из окна Gelandewagen чиновника"
"2020-01-10"	"Стали известны подробности гибели найденного на рельсах российского солдата"
"2020-01-10"	"Студенты-медики без опыта ампутировали россиянину ногу по указанию хирурга"
"2020-01-10"	"У пожаловавшейся на чиновников россиянки сгорел дом и погиб муж"
"2020-01-10"	"В московском роддоме из пациенток «выдавливали» детей"
"2020-01-10"	"Автобус с детьми попал в массовую аварию на российской трассе"
"2020-01-10"	"Путин раскритиковал крымских чиновников"
"2020-01-10"	"Россиянки получили маткапитал на 9 миллионов рублей за «выдуманных» детей"
"2020-01-10"	"Россиянин Роман рассказал о разрешении суда следить за всеми Романами в стране"
"2020-01-10"	"Путин раскрыл дату запуска полноценного грузового сообщения по Крымскому мосту"
"2020-01-10"	"Врач предсказал распространение болезней в России из-за аномальной погоды"
"2020-01-10"	"Медведев назвал снюс гадостью"
"2020-01-10"	"Стало известно о жизни трансгендера-женщины в мужском СИЗО"
"2020-01-10"	"Московские поликлиники перестали лечить пациентов из других регионов по ОМС"
"2020-01-10"	"Путин назвал состояние здравоохранения в Крыму плачевным"
"2020-01-10"	"Россиянин потребовал через суд признать его потомком Ивана Грозного"
"2020-01-10"	"Врачи спасли раненную в живот беременную россиянку и ее ребенка"
"2020-01-10"	"Отец расстрелявшего сослуживцев солдата рассказал о ночных избиениях в части"
"2020-01-10"	"Минобороны прокомментировало сближение кораблей России и США в Аравийском море"
"2020-01-11"	"Российский мальчик оплатил проезд блогерше и стал миллионером"
"2020-01-11"	"В Совфеде оценили признание Ираном вины в гибели украинского Boeing"
"2020-01-11"	"Оценена боеспособность России"
"2020-01-11"	"Российским инвалидам усложнят жизнь"
"2020-01-11"	"Россияне назвали ребенка в честь героя сериала про бандитов"
"2020-01-11"	"Российским школьникам начнут выдавать аттестаты по-новому"
"2020-01-11"	"Российский адмирал оценил слова украинского эксперта о Черноморском флоте"
"2020-01-11"	"В Москве провозгласили пришествие зимы"
"2020-01-11"	"В Госдуме раскритиковали Иран из-за признания вины за сбитый украинский Boeing"
"2020-01-11"	"В России насчитали 100 миллионов нарушений ПДД за год"
"2020-01-11"	"Поклонская рассказала о слезах крымчан из-за российских паспортов"
"2020-01-11"	"Путин предложил Меркель поговорить об «острых» вопросах"
"2020-01-11"	"Российского ребенка нашли в кровоподтеках и с порванными ушами"
"2020-01-11"	"Российским школьникам пообещали проблемы из-за слова «ветеран»"
"2020-01-11"	"В РПЦ дали совет по знакомству с девушками"
"2020-01-11"	"Стали известны подробности метания валенка в российской колонии"
"2020-01-11"	"Раскрыта опасность диеты после новогоднего застолья"
"2020-01-11"	"Путин ответил на вопрос о российских наемниках в Ливии"
"2020-01-11"	"Путин выступил за бессрочный закон о статусе Донбасса"
"2020-01-11"	"Путин назвал войну на Ближнем Востоке катастрофой для всего мира"
"2020-01-11"	"В России двое детей провалились под лед и погибли"
"2020-01-11"	"Слова Турчинова о вине России в авиакатастрофе в Иране назвали «диагнозом»"
"2020-01-11"	"Российская модель выпала из окна квартиры в центре Москвы"
"2020-01-11"	"В России взорвался комбикормовый завод"
"2020-01-12"	"Стали известны подробности падения из окна российской модели"
"2020-01-12"	"Горбачев призвал отказаться от длинных новогодних и майских каникул"
"2020-01-12"	"Пьяный травматолог пожаловался на зарплату и уволился посреди смены"
"2020-01-12"	"Семья из трех человек погибла при пожаре в российском селе"
"2020-01-12"	"В России пьяный школьник убил отчима"
"2020-01-12"	"Ректор МГУ прокомментировал открытие филиала вуза в Сирии"
"2020-01-12"	"В России ответили на призыв британского министра не полагаться на США"
"2020-01-12"	"Выдвинута новая версия случившегося с найденной на улице российской моделью"
"2020-01-12"	"Путин в ответ на шутку Асада предложил пригласить Трампа в Сирию"
"2020-01-12"	"В России отреагировали на идею отпраздновать «годовщину сожжения Москвы»"
"2020-01-12"	"Стало известно о состоянии выпавшей из окна российской модели"
"2020-01-12"	"Внук Михалкова удалился из соцсетей после падения из окна российской модели"
"2020-01-12"	"Меркель вышла из Кремля и заговорила по-русски"
"2020-01-12"	"Российские врачи три дня игнорировали парализованного пациента"
"2020-01-12"	"Помощник Путина приехал в Абхазию помочь в урегулировании кризиса"
"2020-01-12"	"В России ужесточат правила приема на работу в такси"
"2020-01-12"	"Соседи рассказали о событиях до падения из окна российской модели"
"2020-01-12"	"В России изменится структура оплаты труда учителей"
"2020-01-13"	"Опубликовано видео из самолета Путина во время посадки в аэропорту Дамаска"
"2020-01-13"	"Все школы Хабаровска эвакуировали из-за сообщений об угрозе взрыва"
"2020-01-13"	"Врач объяснил падение российской модели из окна"
"2020-01-13"	"Учебные заведения на Дальнем Востоке массово эвакуировали"
"2020-01-13"	"Российский подросток умер после посещения аквапарка"
"2020-01-13"	"Россиянин спрятал деньги в собачьей конуре и лишился миллиона рублей"
"2020-01-13"	"Москвичам рассказали о погоде перед старым Новым годом"
"2020-01-13"	"Залив в районе взрыва экспериментального российского двигателя закрыли"
"2020-01-13"	"Российский мэр похвастался заменой дыр в школьном туалете на унитазы без кабинок"
"2020-01-13"	"Стала известна реакция Кремля на ситуацию в Абхазии"
"2020-01-13"	"Замену дыр в школьных туалетах на унитазы без кабинок объяснили"
"2020-01-13"	"У стен Московского Кремля умер человек"
"2020-01-13"	"Российским врачам предложили работать трактористами в рамках оптимизации"
"2020-01-13"	"Стала известна судьба найденного в коробке в Подмосковье младенца"
"2020-01-13"	"Россияне поделились ожиданиями от 2020 года"
"2020-01-13"	"В больнице рассказали о состоянии российской девочки «как из концлагеря»"
"2020-01-13"	"Россиянин умер после отказа скорой присылать к нему бригаду врачей"
"2020-01-13"	"В РПЦ рассказали о неправильных пожертвованиях на храмы"
"2020-01-13"	"Создатель World of Tanks решил оставить «Танки» ради политики"
"2020-01-13"	"Путин поручил освободить врачей от преследования за потерю наркотиков"
"2020-01-13"	"Россияне массово «забьются» татуировками в честь годовщины Сталинградской битвы"
"2020-01-13"	"Правительство России выделит средства на закупку «Фризиума» и других лекарств"
"2020-01-13"	"Мальчик с вросшей в колени гречкой останется с одобрившей истязания матерью"
"2020-01-13"	"Анонсирована отмена еще 3 500 советских законов"
"2020-01-13"	"Россиянин избивал шестерых детей без повода и лишился их после смерти жены"
"2020-01-13"	"«Единая Россия» обсудит реализацию послания Путина"
"2020-01-13"	"В Госдуме рассказали о подготовке СБУ теракта на Крымском мосту"
"2020-01-13"	"Шедший к Путину шаман объявил о новом походе на Москву"
"2020-01-13"	"Россиян предупредили о «температурных качелях»"
"2020-01-14"	"В России отказались упрощать правила перевозки животных в самолетах"
"2020-01-14"	"Погодные аномалии в России объяснили"
"2020-01-14"	"Тысячи москвичей остались без бесплатной парковки"
"2020-01-14"	"Депутат объяснил предложение о налоге для домохозяек"
"2020-01-14"	"В российском городе нашли зеленый снег"
"2020-01-14"	"В Госдуме предложили запретить россиянам запускать фейерверки под окнами домов"
"2020-01-14"	"Детский мармелад в форме пениса озадачил россиянку"
"2020-01-14"	"Российский ребенок проглотил 31 магнит и обошелся без операции"
"2020-01-14"	"Пропавшую российскую школьницу нашли в машине взрослого мужчины"
"2020-01-14"	"Путин попросил Кудрина проконтролировать исполнение нацпроектов"
"2020-01-14"	"Россиянин выдумал разговор Сталина и Гитлера в аду и стал фигурантом дела"
"2020-01-14"	"Стало известно о состоянии выпавшей из окна российской модели"
"2020-01-14"	"Российский ребенок покатался на тюбинге и попал в реанимацию"
"2020-01-14"	"Россиянин умер от разрыва петарды"
"2020-01-14"	"ЕСПЧ не признал политическим преследование Ходорковского по второму «делу ЮКОСа»"
"2020-01-14"	"Россиянка без трусов швырнула ребенка в туалет поезда возле Крымского моста"
"2020-01-14"	"Победитель «Лидеров России» стал полномочным представителем губернатора"
"2020-01-14"	"Неадекватный россиянин заживо поджег жену"
"2020-01-14"	"В России ответили на слова президента Эстонии о крахе надежд после Ельцина"
"2020-01-14"	"В Госдуме захотели видеть Путина на мавзолее"
"2020-01-14"	"Москвичам пообещали почти столетний температурный рекорд"
"2020-01-14"	"Россиянка с ребенком сгорели из-за новогодней гирлянды"
"2020-01-14"	"Оставленный россиянкой младенец умер в нелегальном приюте"
"2020-01-14"	"Забег москвича через 12 полос проспекта закончился на 8-й и попал на видео"
"2020-01-14"	"В России оценили идею депутата Литвы праздновать день взятия Москвы"
"2020-01-14"	"Врач скорой избил россиянина по дороге в больницу"
"2020-01-14"	"В Госдуме объяснили аномально теплую зиму климатическим оружием США"
"2020-01-15"	"В Гидрометцентре ответили депутату о климатической атаке США на Россию"
"2020-01-15"	"В России озаботились атаковавшим Европу опасным вирусом"
"2020-01-15"	"Российскую учительницу потребовали уволить за покупку нижнего белья"
"2020-01-15"	"В Госдуме оценили шансы потерять работу из-за роботов"
"2020-01-15"	"В России предложили внедрить частных судебных приставов для помощи бизнесу"
"2020-01-15"	"В российском порту загорелся иранский танкер"
"2020-01-15"	"В жилом доме в российском городе взорвался газ и рухнул потолок"
"2020-01-15"	"Родители живущей в клинике девочки согласились забрать ее и выдвинули условие"
"2020-01-15"	"Названы попавшие в зону аномального тепла российские регионы"
"2020-01-15"	"Автобус Росгвардии столкнулся с легковушкой на российской трассе"
"2020-01-15"	"Прожившей пять лет в клинике девочке проведут экспертизу для выяснения диагноза"
"2020-01-15"	"Россиянка обманом увезла дочь-лесбиянку в Азербайджан и забрала у нее документы"
"2020-01-15"	"Российская школьница самостоятельно отбилась от попытавшегося украсть ее мужчины"
"2020-01-15"	"Путин начал оглашать послание Федеральному собранию"
"2020-01-15"	"Путин заявил о запросе на перемены в обществе"
"2020-01-15"	"Путин назвал задачу по увеличению рождаемости в России"
"2020-01-15"	"Стали известны подробности о бросившей младенца на пол поезда в Крым россиянке"
"2020-01-15"	"Путин поручил создать 255 тысяч новых мест в яслях за два года"
"2020-01-15"	"Путин поручил обеспечить школы горячим питанием с 1 сентября"
"2020-01-15"	"Путин заявил о новых школьных местах"
"2020-01-15"	"Путин призвал дать студентам возможность получить смежную профессию"
"2020-01-15"	"Путин поручил ежегодно увеличивать количество бюджетных мест в вузах"
"2020-01-15"	"Путин объявил о выделении еще 550 миллиардов на первичное звено здравоохранения"
"2020-01-15"	"Путин объявил об изменении системы оплаты труда врачей"
"2020-01-15"	"Путин потребовал исключить перебои в поставках жизненно важных лекарств"
"2020-01-15"	"Путин поручил сделать интернет доступным в России"
"2020-01-15"	"Путин отказался менять Конституцию"
"2020-01-15"	"Путин рассказал о развитии проекта «Россия — страна возможностей»"
"2020-01-15"	"Путин рассказал о расползающейся как зараза лжи о Победе"
"2020-01-15"	"Путин предложил ужесточить требования к кандидатам в президенты"
"2020-01-16"	"Раскрыта реакция совета Госдумы на новость об отставке правительства"
"2020-01-16"	"Стало известно о плане Медведева по реформе российской власти"
"2020-01-16"	"Названы возможные сценарии транзита власти в 2024 году"
"2020-01-16"	"Россиянам пообещали отсутствие крещенских морозов"
"2020-01-16"	"Кудрин указал на необходимость определить основания для отставки премьера"
"2020-01-16"	"Названо число получивших российское гражданство украинцев"
"2020-01-16"	"Временную нетрудоспособность Кадырова объяснили"
"2020-01-16"	"Мишустин приехал в Госдуму"
"2020-01-16"	"Россиянам рассказали о грядущем похолодании"
"2020-01-16"	"Один человек погиб при обвале в российской шахте"
"2020-01-16"	"Представители «Единой России» встретились с Мишустиным"
